year,p_bread,p_cereals,p_biscuits,p_beef,p_lamb,p_pork,p_bacon,p_poul_oth,p_fish,p_butter,p_oil_fats,p_cheese,p_eggs,p_milkfres,p_milkprod,p_tea,p_coffee,p_softdrin,p_sug_pres,p_swe_choc,p_potatoes,p_oth_vegs,p_fruit,p_oth_food,p_canteen,p_oth_snac,p_beer,p_winespir,p_cigs,p_othtob,p_rent,p_mortgage,p_ratesetc,p_repair,p_diy,p_coal,p_electric,p_gas,p_oil_oth,p_furnit,p_furnish,p_elec_app,p_othhheq,p_consuma,p_petcare,p_postage,p_telephon,p_domservs,p_fees_sub,p_menouter,p_womouter,p_kidouter,p_othcloth,p_footwear,p_chemgood,p_p_servs,p_motorveh,p_maintmot,p_pet_oil,p_tax_ins,p_railfare,p_busfares,p_othtrav,p_aud_vis,p_rec_toys,p_book_new,p_garden,p_tvlicen,p_entertai
85,299.16897,284.86646,260.19489,313.33983,262.81404,229.64958,216.32125,231.33903,268.32535,369.25676,176.6399,307.80609,270.20057,436.56389,310.01517,502.76498,350.67619,251.39297,167.06712,289.14472,305.20981,271.36001,244.17129,270.90775,360.69211,336.03121,394.41668,261.45832,412.71256,379.34782,377.13178,374.03099,438.57438,421.8182,250.77683,418.06555,380.74299,365.60451,457.80616,226.42312,231.38867,220.21722,311.39551,324.6484,225.5627,401.67926,324.27695,344.80917,371.12211,197.04142,136.40276,215.61712,213.54166,198.32452,326.4267,380.82305,256.90514,345.36505,265.07842,323.77819,470.57195,408.61326,217.19243,126.64782,234.93266,395.47118,274.63639,191.90244,399.28185
86,324.56139,301.18694,262.06895,312.07399,260.90453,227.04401,220.81175,234.75783,290.90909,373.1419,179.1834,317.66641,295.2722,455.5066,313.35356,440.64514,371.20126,256.74487,168.55842,306.38159,316.85959,283.2,254.55988,282.21729,383.14111,356.79938,424.91669,273.87154,443.48177,405.04658,405.03874,443.02325,482.11371,446.61159,267.5141,434.77216,395.90602,382.94285,456.59487,231.43585,247.00083,222.55639,330.0578,345.96593,234.48551,395.04618,343.29537,358.5496,398.67989,202.78952,141.56627,219.89924,223.79809,205.20283,360.05268,406.09053,262.56239,369.15504,266.93781,358.64662,502.49078,428.2515,223.65932,124.48211,246.46466,421.47555,282.54546,206.63415,428.09691
87,337.48845,314.24332,272.26386,314.21613,270.85427,228.12218,224.52505,242.64007,322.39237,377.70271,156.49265,324.65079,292.2636,492.7313,315.62973,429.95392,423.2299,261.07038,170.8368,320.52632,389.94205,288.72002,254.87708,291.88991,400.53239,381.87668,445.16668,281.85766,492.46968,431.21119,428.77905,480.91086,542.60057,454.62813,274.43502,436.93044,396.66417,388.19121,378.19649,237.38318,252.17749,225.98163,337.07679,348.48258,235.61093,416.79264,350.39438,384.19846,422.52477,205.7481,142.77108,228.12761,231.41027,213.3157,374.27569,433.99179,278.86855,386.38228,239.4538,399.24813,525.18448,459.68994,231.54575,113.65348,251.43098,436.74218,289.27273,205.95123,462.56728
88,357.06279,326.18458,280.43177,329.29852,268.9583,230.63152,229.4646,245.09343,338.83437,383.36825,155.71018,338.28612,323.53579,513.426,333.62062,432.53363,388.94828,281.17279,183.82039,322.77,389.16218,303.15602,258.19049,300.06283,426.567,406.38534,464.30886,289.74968,500.84165,429.91754,453.21944,463.11717,584.30328,473.26788,287.33346,444.7952,396.66417,370.72261,367.98519,243.79252,260.49935,232.30912,349.21155,367.9976,236.78899,419.29339,354.59911,406.48199,458.01685,209.04007,141.62891,230.40889,238.35257,217.15539,393.36375,463.93723,298.11049,408.79246,236.81981,447.95639,562.47257,490.48915,236.17667,108.31177,254.5286,476.04898,301.71147,204.71552,494.48443
89,376.6371,352.581,294.86177,362.60542,268.14573,239.52829,237.54751,246.50528,341.41352,418.49461,167.76011,358.08984,303.07734,550.38084,355.08345,468.21982,393.18058,315.11193,195.09562,326.29581,388.77221,312.68379,270.42458,313.19788,449.39733,432.47758,497.69636,302.1514,521.52539,448.02843,490.52324,694.43525,633.29971,503.27333,299.95749,450.47528,430.77728,392.8495,337.72947,254.71216,274.11692,236.37678,365.72832,390.99744,241.2656,443.88416,354.59911,434.91265,499.84681,218.50448,146.34036,243.6403,252.23719,229.52769,415.82029,508.20438,316.51581,436.99835,238.73543,486.68348,616.56659,530.02251,248.4486,103.31102,260.52982,504.00049,324.564,213.57141,546.29195
90,400.26129,373.32107,313.10344,390.25643,300.37739,276.71221,276.8394,272.38154,358.17792,471.37299,173.70684,384.71119,346.91688,591.77028,385.06828,524.54378,414.34208,323.72727,207.90838,338.79631,462.47127,346.17531,283.16843,334.79772,483.04206,463.28341,529.74835,317.08986,533.83714,464.84567,539.83283,916.61612,697.26405,546.00838,318.89349,460.52469,458.94043,406.048,470.85462,267.53083,283.95185,235.69884,387.30124,417.83062,251.86809,469.3085,370.36685,469.87473,525.62082,227.76314,152.33674,254.81853,266.12181,241.04674,449.87937,564.18932,315.40033,471,261.00464,502.6534,616.56659,566.33799,260.95206,101.71987,268.43511,553.35233,348.28437,218.10235,595.78667
91,439.07249,401.28871,342.23566,391.82751,302.00251,269.86854,286.26944,291.84156,401.3785,453.24325,189.82558,389.9056,329.67335,640.05792,422.6282,609.24469,380.06046,351.40074,229.77549,354.82263,460.91149,359.16771,312.73417,361.94349,532.30752,504.48052,592.07168,352.04022,583.0841,504.08589,610.1526,1039.7293,913.59093,588.74343,353.74672,491.54675,500.59017,447.58448,562.75638,278.45048,292.27371,236.60276,406.85167,450.93644,262.9418,521.82437,399.4496,523.66252,554.35248,235.78732,152.33674,261.66236,281.39488,254.91226,488.80408,624.51415,325.43959,521.61607,287.58401,542.17898,736.83385,609.54889,282.71736,98.76488,277.47391,604.45116,369.69056,229.22372,662.39633
92,449.87211,425.7997,360.47733,395.2839,306.8779,286.06522,304.45598,284.75989,411.69504,477.03853,199.05864,411.33255,348.96274,669.6218,428.62519,654.81983,386.83213,395.7827,237.12148,379.82369,494.44653,354.83691,337.96702,388.21358,585.57835,549.62883,658.84668,388.68169,679.60815,575.2357,674.18147,904.59335,705.40616,643.2988,382.83685,513.39327,553.7432,463.8885,395.21533,293.40561,303.11733,247.44988,437.86273,489.96653,280.84823,575.59066,423.62682,564.00336,604.63297,236.61032,149.76687,263.48739,304.07307,259.81853,533.34286,713.91649,355.27854,578.02791,298.35943,628.81581,791.453,689.99463,296.84165,95.809891,288.25512,643.75795,394.27874,243.22839,749.82158
93,467.08399,422.02879,377.35772,403.76773,304.16935,278.08094,309.39553,286.76521,420.72204,486.85877,197.33722,442.82366,341.36389,686.8674,439.67223,641.06132,385.56243,399.17659,241.56322,395.20897,459.74169,341.84451,293.87328,395.21892,624.02948,576.50577,692.67938,407.28431,742.64429,621.37535,721.57557,715.59537,792.53499,662.39317,388.87442,518.1995,566.03975,439.82066,431.14399,295.30468,305.13476,249.7097,438.53692,510.17848,286.03168,578.50819,425.0284,589.36042,636.74481,233.93558,147.91084,257.7842,308.70128,257.47205,561.03924,760.78762,340.4985,615.12057,322.30483,709.46392,848.69816,726.3101,310.50287,92.059322,292.24919,680.44434,404.40329,243.84625,806.7173
94,462.35917,434.91274,390.69864,423.56336,332.8799,272.37788,304.00691,285.38979,400.41131,517.45271,199.05864,470.41898,364.74498,691.30202,445.66918,635.04192,385.13921,399.17659,247.8842,416.36368,478.06895,316.14842,288.52085,400.18108,658.87579,604.13857,725.17649,418.55862,826.36413,681.31368,763.15732,679.04611,754.69019,676.48667,390.52104,523.87961,552.15651,439.82066,411.85598,294.59252,303.11733,247.2239,442.24474,510.87548,297.81222,606.43329,411.36301,613.94916,663.36388,238.6678,146.76868,262.803,317.03206,262.37831,577.88164,798.97891,358.34609,637.14435,352.47599,788.11579,884.93585,744.23798,322.54324,89.672601,297.11542,699.66097,405.56036,245.28791,845.77033
95,454.25947,435.227,392.05996,414.13687,352.11055,272.37788,301.53715,280.37252,391.06195,518.2081,200.93655,480.1585,390.46418,741.5606,462.08191,619.56362,516.7637,407.53087,235.92563,430.46686,620.00786,347.90762,309.42078,393.75947,697.32692,627.11837,749.21553,427.57806,871.67133,715.81057,800.56213,779.55653,783.2281,698.30883,395.18643,560.58177,587.06297,476.69882,422.82368,304.08787,311.94354,238.63659,442.91888,519.23905,312.6557,609.35082,387.53618,637.76945,674.77204,240.31379,146.34036,266.90931,325.59424,263.01827,598.09257,845.84997,364.20235,644.87199,372.59013,786.91809,902.26696,776.876,326.24795,84.899149,298.67783,703.15492,411.05657,247.75933,873.53351
96,461.00924,449.36795,408.39579,435.50358,358.06934,308.19308,328.70466,286.09634,406.85916,607.72363,212.36052,521.06452,404.20056,752.89343,463.02881,620.42352,525.65152,435.20431,262.23448,444.89055,675.37962,351.66099,318.0866,411.56477,742.98759,649.75522,776.37066,435.47008,935.19988,749.01382,828.40271,819.47207,825.24655,728.76891,409.45704,562.32946,584.68296,482.90987,448.54103,312.15888,339.17872,235.47285,454.04242,547.11765,324.43625,609.76764,378.42594,661.58974,671.39183,235.78732,143.62771,262.34675,334.61926,263.87152,620.92335,893.58906,372.28952,671.146,392.70423,735.81432,961.0876,802.61866,324.39562,80.125706,297.47985,752.9435,413.37071,248.99503,909.93236
97,466.07157,439.31217,410.84615,416.9648,433.90853,342.18327,358.11746,303.49364,396.22023,633.40743,218.30724,536.64777,445.4097,760.77709,453.87557,636.3318,502.79713,459.74495,269.40963,463.16054,514.72351,352.52714,321.39999,425.28359,782.64027,673.85876,803.52585,445.61697,997.25109,778.76743,858.66,787.732,880.6041,797.41771,416.86678,572.37888,565.24644,482.52169,511.69986,321.8916,346.2397,228.01546,473.59289,543.28432,338.10169,636.02559,365.81174,687.33103,684.49012,236.40457,142.91385,265.76867,345.49553,255.55222,655.731,935.68632,389.02163,708.62507,424.5516,771.74665,974.21722,831.11942,338.75145,75.124951,300.82185,784.82569,422.0489,256.20333,947.62667
98,456.62188,443.39734,414.9301,409.10939,389.48845,326.21472,352.05529,301.25749,414.5966,632.65203,215.17739,540.54357,431.67332,755.84978,455.76932,666.85855,563.74221,471.75416,256.42604,476.94318,515.11347,348.48505,332.61459,431.12138,814.68286,697.80472,836.91335,452.09966,1095.2525,817.57644,883.19439,978.65359,935.25752,838.33424,425.64873,568.44653,530.33998,463.11213,419.7981,326.16447,354.30937,222.81788,471.57041,548.51156,345.87686,637.69273,363.70938,718.45113,711.95423,233.31835,140.34398,266.22492,353.36347,248.29948,680.80746,997.74709,392.92577,737.99015,442.75006,824.04812,1019.9083,855.94265,347.55019,69.896893,299.49382,810.15675,421.18111,261.96995,1001.3016
99,455.2719,444.02582,426.90974,416.65061,377.30001,289.48705,331.39899,301.56136,462.95546,643.22772,220.65463,520.41523,443.36387,753.38612,444.72228,729.63178,539.61812,487.41838,246.17584,493.28999,664.07133,364.94211,339.24141,442.79698,852.73344,725.16923,870.30085,466.47442,1185.3745,856.38545,909.64986,968.55443,1008.436,907.43777,426.74646,581.99133,525.58002,461.17117,358.15206,333.76076,358.09203,218.07227,473.25579,562.45086,353.65203,641.44384,356.00069,749.57123,750.8265,231.46661,134.34759,257.32795,359.84296,243.81985,718.60933,1063.7139,382.3288,766.58241,446.10244,868.36469,1055.0956,882.60468,352.64419,57.622317,302.16912,840.72871,426.09874,265.88304,1041.8313
