year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.41784,.16221,.49391,.55655,.20067,.17385,.24975,1.01557,.2319,.18638,.1498,.1784,.24171,.65813999,.0675,.10205,.12238,.22751,.24203,.31739,.38393001,.56867001,.35636,.70271999,.43053749,.78947249,1.3754917,.6471183,1.51165,.07651,.95206104,1.6516,1.573779,.0175,.32213001,.28294812,1.1751921,.5410634,.11682641,.17707,.52750001,.59684308,.43209692,.49615,.27943,.10075,.35121,.27707,.25555,.41541999,.7881,.39873,.67457,.51729999,.39956,.2488,1.24217,1.21425,1.71083,.55172001,.1612,.50816001,.36775,.0858,.76396,.74113999,.23498,.59885,.91939
76,.38590146,.2110135,.38047537,.4914628,.35284689,.17685736,.24398846,.84180891,.17221096,.20581367,.19156401,.15189096,.2529457,.47583439,.1338903,.13743909,.10743039,.22717948,.297715,.25689038,.24625424,.57112698,.4477438,.52811384,.43811536,.73116717,1.1199076,.44196676,1.2107808,.17044182,1.0653832,1.0666195,1.4965781,1.3600187,.32370558,.29259478,.89566282,.43596248,.64862734,.31720495,.43463781,.42340234,.32491299,.43203568,.33418936,.05929625,.25995264,.20552622,.19112752,.51270642,.69278957,.21245587,.54157134,.48834701,.51036914,.23682879,1.1315251,.26158334,1.6299881,.46895144,.11872833,.36054443,.21744216,.26868924,.95437113,.42395486,.11280741,.56029865,1.2150969
77,.39786145,.17024239,.47430768,.41113702,.21229401,.18164161,.27019231,.69756081,.154406,.1048209,.21044312,.17624416,.18555932,.4778463,.08056066,.13704465,.13225536,.20808682,.22859346,.25650647,.15354691,.39564951,.33497636,.64097349,.29335226,.69274911,1.0660929,.5193075,1.5607022,.09494856,.98818518,1.6642412,1.4993911,1.0546486,.24791826,.34493185,.87858012,.56679617,.15070505,.24697078,.57261175,.23202765,.24488717,.44155638,.33249876,.08390469,.32440208,.19294281,.28091796,.404873,.50823374,.19355292,.58307079,.45226677,.34957442,.23139796,.88599413,.58553987,1.4240585,.4896681,.08190446,.35274699,.1178358,.12975994,.78728226,.4751771,.20675481,.58271957,.55398166
78,.41985048,.18647334,.47036955,.51027334,.19844261,.13777958,.2612779,.80203954,.18846981,.14612876,.20865761,.17486098,.12970238,.41024946,.07221009,.06954327,.10045295,.17462843,.28050924,.18901596,.21028131,.49480063,.36687782,.56556792,.22240446,.74527397,.99917138,.25402338,.93532625,.07757337,.89671879,1.2839128,1.3913577,.02108778,.41117784,.30208631,.8124305,.63775275,.19734355,1.155781,.31701449,.18418381,.43852551,.42218303,.25887841,.04495111,.29615408,.13014896,.17941733,.34369704,.67678384,.31427077,.79898518,.70216315,.37647858,.33219177,1.4751897,.83183276,1.4981788,.46478785,.07001163,.36419309,.07131232,.03003234,.63956117,.40838368,.12161637,.56912293,1.1638063
79,.41973841,.25047534,.51204035,.5543378,.17747336,.2381428,.31718604,.8282738,.20557831,.13200086,.20188114,.1606173,.19353986,.45017627,.120499,.09569377,.08762808,.21352354,.26295256,.25236326,.28615592,.53767849,.40823178,.66442327,.25139316,.79781656,1.0279031,.34155322,1.042786,.13225019,.96604364,1.4266171,1.4628271,.01124267,.54659443,.1535589,.97446187,.71404832,.21842853,.49488172,.62272923,.91198461,.58986299,.49872128,.21875165,.0452782,.3587692,.1468249,.35012564,.25982773,.79522954,.39301696,.85915427,1.1163757,.45662666,.2891771,1.4612442,.7521671,1.573237,.43842489,.12304876,.30342565,.27439423,.21652107,.6160092,.49699137,.10536487,.60135436,1.2696447
80,.38400361,.12789193,.44193499,.42963332,.20783455,.22807022,.25800479,.80325913,.21517938,.08519118,.20047117,.1832083,.17313616,.44001887,.13230261,.06822001,.11132279,.16348118,.19468059,.23303002,.22534411,.48573866,.41023008,.63161734,.32702647,.98662112,1.2280706,.54599573,.9858356,.165352,.7052799,1.6139404,1.4387579,.31498739,1.1321072,.10660659,.83719979,.70303194,.07421276,.32036758,.42909382,.37959752,.65822007,.42634801,.2644004,.08409054,.47897441,.12541073,.22521699,.12344731,.88502145,.51000515,.45429187,.51797647,.48204462,.19905408,1.1764958,.40741999,1.5908854,.49680881,.07210092,.31058984,.29498532,.24662393,.92700687,.67997728,.17606508,.61476944,.70002327
81,.34738945,.15740872,.50461444,.50793015,.14213277,.20722532,.33108427,.90739094,.22417628,.11285161,.21434371,.16903696,.16410244,.43643116,.12498384,.0941008,.10657751,.18962604,.25211335,.25378397,.35715924,.49966294,.45380222,.73182117,.2088749,.73290623,1.2227195,.46211119,1.4010324,.10764189,1.0213115,1.3335419,1.5313443,.02379213,.6945804,.27825302,.83279467,.76285804,.07392384,.19716147,.31170872,.25452881,.42130154,.44418585,.28631733,.06320947,.48683682,.17117206,.52970811,.49933848,.80661381,.83735935,.58614414,.48118513,.47156395,.1969508,1.2482321,.36355279,1.7454239,.45038872,.00842021,.27446689,.36055242,.86458746,.62837609,.54249059,.10439451,.6960039,1.8855339
82,.3650489,.15630242,.43523289,.39093485,.20038447,.27270466,.29065349,.9351408,.21202395,.09797499,.23154884,.18506563,.16041741,.43522021,.0842801,.10951628,.11448892,.2336306,.28951149,.26610899,.25204386,.41893619,.37855371,.6152613,.24306089,.98310901,.91083681,.75509457,.69649037,.129444,1.0271101,.913588,1.5414352,0,.18714808,.22502286,.98033044,.66309905,.10128598,.10843352,.37056586,.42394768,.35495598,.47114277,.34128683,.0811126,.42305825,.18082973,.25297506,.64918816,1.0666122,.3730058,.6932943,.72956935,.42359061,.40263381,1.188376,.54226211,1.4350243,.56220331,.21500642,.33582449,.37973037,.64023329,.9852948,.47866248,.16106687,.6754672,1.560573
83,.33174625,.18340411,.4348089,.36396999,.22825001,.19462288,.23184409,.85893937,.22204918,.09263158,.23230932,.13210099,.16132114,.38909143,.09298407,.11280784,.12933029,.16209255,.26173235,.17508686,.27958072,.45485382,.44914807,.5705144,.18995256,.86833151,.62632494,.68322022,.76654221,.03672536,.4408295,1.4111338,1.5578697,.07663154,.27723322,.2883812,.81330687,.55326579,.0828545,.2079704,1.1478055,.34547854,.6860279,.50656976,.39740611,.07610085,.56061876,.11207707,.2320187,.40800317,1.0576242,.72318467,.44965281,.55999661,.5557494,.24181891,1.8934711,.50669541,1.6164055,.54949595,.08015263,.31225479,.48424631,.75130735,.87127605,.48121809,.10430262,.50977743,1.073788
84,.3555655,.14341378,.40826855,.28814981,.10831542,.1754027,.23156121,.90752934,.22976315,.07396129,.23888546,.15745357,.14450711,.37472996,.08684913,.07777195,.08726413,.20467397,.16450497,.19190413,.24472458,.44584484,.32062872,.55700035,.15012026,.77403197,1.1475255,.40264051,.77835921,.07075134,.51926209,1.2451639,1.5282918,.25114156,.56642064,.0015888,.78545122,.78339382,.03414294,.54512347,.18345182,.93169711,.34588814,.36569246,.26473208,.03856286,.45936779,.0975903,.27622773,.47005158,.79070723,.32336913,.38866772,.71656036,.39167952,.20024426,1.5908776,.25207485,1.3911501,.52100157,.0613335,.2009881,.36661717,.28677036,.9956205,.41953521,.14113206,.751044,1.6489149
85,.2894351,.16118079,.4116914,.32372201,.15081006,.24158546,.2230479,.76772605,.25707598,.06844831,.22027866,.1599481,.14122842,.31736478,.10347881,.08315018,.1245451,.18488982,.1706799,.22161912,.22214227,.46348023,.3700476,.82136078,.23500653,1.124464,.99653847,.54947037,.73198646,.03823668,.65848988,1.7413023,1.4116009,.67203122,1.7605216,.06319841,.79360662,.67898295,.15314896,2.1853068,.69083331,.17039605,.31204,.42869455,.3609196,.03138076,.56737304,.23658013,.22668011,.78878848,.91158713,.37238694,.35350947,1.0153056,.41556037,.19749329,2.0867119,.91978907,1.6409295,.45739338,.08068196,.18706768,.48788073,.91344644,.85309978,.39829704,.40637368,.78510205,1.6981388
86,.35239866,.19992566,.4778895,.35446722,.2595777,.16080583,.22996965,.98799687,.2292125,.06043278,.2253836,.20000541,.12546051,.3910591,.14612886,.07681918,.12245379,.20662535,.24255685,.21531973,.26246641,.51009887,.4872331,.68748445,.21503826,.89009405,.62322624,.6907281,.64118758,.09484094,.49720784,1.3714675,1.3747273,.04046021,.95274606,.07655816,.82217647,.83141767,.1013537,.2440201,.26973594,.18308463,.29166208,.47673769,.36255971,.05687943,.54506706,.10518768,.35161542,.54066895,1.7368332,.29384366,.69294603,1.0458384,.60093984,.39204312,1.2172954,.387642,1.3405182,.39468377,.06198709,.24833084,.38954334,.29001758,.87198707,.46640428,.18798745,.75868389,1.4456423
87,.34956301,.18785371,.40308724,.41463498,.22102291,.2965297,.22102211,.92981345,.17917608,.06677209,.24620965,.17674376,.12960902,.35251464,.1162438,.08235766,.11107438,.21712536,.23311722,.27105418,.23757376,.51965569,.52841158,.74891249,.16790153,.99477141,.66462228,.64739166,.71887675,.01783349,.88102862,1.8420441,1.3768314,.29821516,.30472058,.24794569,.92752115,.88014632,.05571312,1.7325322,.91892818,.3957888,.55885189,.61463617,.59375429,.06378472,.52200895,.18332973,.22576665,.35558044,1.2687093,.77322073,.6264372,1.0210078,.52508086,.19085614,1.7593629,.30801362,1.7426535,.56937273,.10225931,.18735454,1.3134078,.96749347,1.0163147,.6398237,.16292583,.74043744,1.5454098
88,.33468903,.23897512,.42094018,.30203597,.18147795,.22277961,.17551727,.9091227,.16189326,.07646695,.25094698,.18663196,.11164144,.34200644,.1138269,.09281359,.12590363,.29501432,.20071223,.23677851,.23860232,.53932625,.4081289,.77072192,.17638495,1.1306092,.63813513,.73568055,.6206253,.05533619,.6188461,2.0905444,1.3710865,.08513149,.32373536,.25321991,.85416587,.73009035,.03025937,.13788364,.65466575,.86042979,.23022236,.54452801,.23888358,.04492081,.56097715,.04161316,.30710442,1.8021186,1.312691,.48375737,.39672322,.71119579,.49866059,.26117757,3.6082863,.29383615,1.9706544,.5848873,.05613963,.21219226,.28607822,.37576711,.78653244,.39524925,.20123531,.59838649,.70888178
89,.39526111,.22804689,.55447337,.39814629,.2012898,.23132967,.28657425,1.1182113,.22046579,.07203199,.28093687,.17459306,.09877017,.37166992,.12922314,.09761441,.12991486,.2960694,.24490555,.19725966,.29311508,.61953964,.51062296,.89343835,.22599155,.95443098,.66316224,.66597263,.77353857,.02075761,.52016439,1.4685545,1.6798564,.4946636,.53276883,.20554291,1.0239816,.70107382,.05640757,.63389984,.82315601,.34231965,.31576057,.66669235,.49944543,.07146008,.80251753,.3099358,.47433933,.48850257,1.5659111,.45292588,.72065502,.70800171,.54589688,.18334159,2.1115754,.49560828,2.0958766,.4755596,.08912257,.22937894,.34243301,.45754074,.67409173,.43605712,.29499267,.67551646,2.2348252
90,.30537552,.19160451,.41722633,.24968198,.08234641,.17951864,.19594393,.7863969,.26419831,.03709377,.27025418,.17392268,.09954834,.31626293,.14518204,.05851752,.09552493,.32428531,.14763715,.19359715,.22586268,.54483955,.48008529,.82690229,.13924253,1.0261106,.58536812,.56207162,.59028302,.05393188,.35251058,1.508157,1.6148926,.29050653,.43989295,.10096093,.83681667,.78801028,.08489244,1.6031237,.46156416,1.0702003,.36734726,.57151149,.33495708,.06997529,.74057114,.13837731,.41723993,.33611672,1.1101984,.35413044,.71896022,.71692734,.60185022,.27854125,3.2655736,.36629299,2.0436993,.62026438,.14864574,.15644898,.6608302,2.1192221,1.2918839,.36490495,.21976295,.66038262,.97686978
91,.27830257,.17289298,.50446234,.35072831,.14549548,.21308523,.23317194,.97057801,.19555108,.05020483,.20695314,.17463201,.10671169,.25731265,.1322439,.05995128,.09672145,.31444157,.15406343,.25698755,.24596913,.47772948,.42793533,.69374089,.10358674,1.3073746,.89144644,.79230951,.5854387,.03463696,.29058482,1.3053417,1.2831478,.18424664,1.0212674,.10029565,.78175926,.84849233,.04039581,1.2033163,1.0947273,.2698389,.26103215,.57258623,.30276662,.07844593,.6716592,.24148186,.62403617,.68728464,1.4115177,.22869166,.56836144,.60306241,.55589756,.2480248,1.5082031,1.2680802,1.8101667,.56977495,.13456629,.12496947,.84082212,1.3061121,1.4989517,.35887928,.15546786,.72857643,1.7296624
92,.30395305,.14792166,.38820749,.24911209,.09761211,.19191428,.19186682,.86655463,.19203535,.03609771,.17211009,.14735036,.07651247,.22583643,.09549136,.04685258,.09536436,.30584965,.12078197,.23926891,.1673184,.47001875,.32127395,.65914747,.1998537,1.3990805,1.0350892,.61757458,.86421859,.10508736,.58732937,1.9108012,1.9268695,.13448805,.39649266,.18510289,.84680335,.76460279,.1286144,.54242317,.35968911,.32908179,.15415733,.59889805,.4243217,.09131489,.71985527,.1680185,.58132291,.3165162,2.3197988,.51193342,.70675448,.69331082,.57248352,.1309677,1.5441546,.42871286,1.874283,.58301491,.09689773,.11008781,.4350973,.65324155,1.6028961,.26562157,.28718515,.69845464,2.0602595
93,.25778019,.24147642,.4631547,.33386769,.21682001,.20968715,.12513109,1.1467918,.25219739,.04837132,.17649991,.14686433,.07751259,.27412132,.10258778,.05486215,.12864324,.259409,.1616554,.28859416,.24641011,.51928581,.55409937,.77969446,.12736578,.790313,.49107121,.63639843,.4171782,.05311604,.3481666,1.4650766,1.3782309,.58375753,.45932566,.09451497,.79913523,.88257218,.07077127,.6452048,.64837581,.36398242,.41841188,.60759128,.44844683,.06229817,.67728415,.12522049,.29162389,.63820989,2.416814,.31099655,.61085913,.64289696,.56182345,.21970652,1.8194911,.22593619,1.7786578,.44788183,.0732569,.09169637,.72940391,.7077393,1.4409552,.35240061,.09954172,.87177884,1.4528621
