year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.43691182,.19830091,.52892728,.64302,.30348,.19611,.30806,1.0377,.20715,.20412,.16819,.16637,.23668,.61321999,.09182,.12777,.07731,.24218001,.22768,.37954,.37474,.53601,.43277,.59279,.38133438,.71014563,1.4168771,.70549293,1.18977,.10389,1.0782138,.91852001,1.4712062,.33689999,.26257,.3551,.98869,.40647,.32148,.23166999,.34394,.44085384,.41322616,.48742,.30807,.09883,.26798,.3826,.34627,1.44289,.72419998,.37259001,.83635999,.54425999,.41549999,.17306,.49485999,.52783999,.91529,.42371,.0534,.44761998,.33858,.06569,1.10098,.54534,.13905,.58901999,.65119001
76,.40275341,.18385165,.48501036,.4997599,.29948566,.17056272,.30972824,.84357376,.21867778,.14336141,.15370563,.14876487,.21909446,.42684833,.07867312,.12011019,.10448076,.17798162,.29388935,.33174517,.27316621,.47812698,.35683636,.56126584,.27296582,.52553219,.99137955,.48442459,1.1852411,.10662113,.71783681,1.072484,1.1630288,.24070438,.39517503,.50724544,.87557369,.34174898,.07830844,.2485036,.32560275,.15065523,.24270526,.40495069,.12554816,.06120746,.25142603,.14893262,.13968981,.47987357,.49373952,.30615915,.65339544,.72949268,.40563709,.12650905,.71952119,.41588966,1.1163071,.26045975,.03720723,.39803199,.23252443,.38787283,.95833396,.50958384,.09821731,.47280944,.79543234
77,.37671813,.15871176,.3936729,.42326983,.26437851,.23030939,.26535772,.7137087,.17469805,.11049413,.15898313,.18208793,.15568806,.4046105,.09238512,.10615745,.099997,.14132298,.25540469,.28013858,.13416512,.32170267,.33143305,.5208428,.16895999,.65430167,1.0668421,.38631051,.97083573,.0850909,.86811321,1.2233124,1.2424272,.01592105,.43209286,.28726813,.85852731,.48896406,.05703654,.58507476,.15858154,.19437523,.16906246,.43802749,.22328713,.06021574,.24925325,.18107415,.35837511,.20105568,.41085175,.16245117,.47285243,.51515656,.37028936,.23153327,1.3255655,.73945436,.94964188,.37114548,.08006589,.26187861,.18394675,.19686579,.72796803,.48467906,.15698144,.50302767,.38066234
78,.34346655,.13168531,.37288188,.51062727,.13999377,.2236376,.24782086,.77155438,.16917794,.12774661,.18516943,.12983426,.16587627,.39659343,.09608135,.07208886,.06136854,.15460016,.18398009,.23400944,.22932853,.58582186,.36116072,.62531832,.20971026,.60523919,.67665573,.45390009,.81548898,.0282085,1.121686,1.8300827,1.3765288,.04867135,.55578535,.33492836,.8213253,.56171485,.1242505,.61195071,.34339173,.2264928,.41720413,.40976322,.27292163,.11499691,.46832782,.21704664,.5188381,.72441303,.9532433,.17128236,.53633891,.49561659,.25751778,.20359158,.78925033,1.0149018,1.0558771,.31645837,.28479835,.26019053,.36532348,.1241156,.42235172,.45816272,.10771821,.49975596,2.7748524
79,.3818486,.12371928,.4604241,.49229149,.1352209,.26985962,.22946101,.89059786,.22032853,.12237782,.20468191,.16127431,.14021507,.35980154,.07005216,.08757442,.08942213,.14426705,.24163853,.22887033,.2695153,.42999219,.34431723,.53212199,.21352486,.50488925,1.0319668,.42379879,.94258465,.03755674,.87213984,.87607929,1.2824267,.03653381,.31963963,.18809409,.76250806,.60024952,.09941498,1.8945815,.24336303,.21912947,.35447188,.42285011,.33762966,.04396502,.41070642,.10229138,.27183886,.31669565,.67654387,.3609616,.69516836,.68007196,.47170663,.40013392,.89883642,.74970651,1.7699597,.37825146,.05691997,.30666381,.39147029,.95480793,.64757206,.47576823,.13457391,.54163636,.63075709
80,.37106817,.13341575,.44545187,.39774115,.1939333,.13968262,.31316057,.75303039,.18116386,.09677476,.2214455,.15896924,.1670865,.39964765,.09232282,.09939674,.0736823,.13534836,.26099783,.19290898,.19630888,.42102901,.39550319,.54069509,.07361288,.69832563,.68801336,.50173693,.79004758,.01429772,1.1886185,.92913241,1.5403658,.01030313,.17718012,.24927117,.97018287,.36591822,.20269803,.07708835,.15086227,.20498249,.29241668,.40727876,.30294097,.03850327,.49290905,.13474864,.26768901,.2174632,.8642439,.39324732,.73500633,.49981718,.42686969,.24135256,1.717956,.76877637,1.4962214,.4559602,.26901766,.19441987,.17874611,.37184196,.64633091,.45904919,.20256085,.50571984,.86790048
81,.36849517,.1763839,.55375233,.40987438,.22884059,.16008104,.31492989,.98573394,.27167254,.0931172,.21949061,.21445587,.1694076,.36302564,.12606939,.08920102,.11535716,.16188166,.24898832,.24139337,.30753872,.57593177,.53377616,.70231041,.20857546,.93284968,1.024056,.81537505,1.1954666,.12150895,.96548539,1.2986251,1.6112364,.03435924,.23132384,.21035535,.85828822,.61858757,.08670555,.31668162,.28045175,.34069599,.40906339,.52413623,.38728428,.10723674,.47861507,.1894268,.26241969,.43046724,1.672754,.53305019,.55823178,.98684578,.48687156,.31992451,2.7660455,.62664766,2.2564573,.62335681,.07971951,.2444108,.19698858,.91706862,.91739361,.59278086,.13180143,.73065122,1.1971917
82,.39085916,.15039247,.4648085,.29609429,.18077735,.18997133,.30530451,.91303301,.24286483,.09940247,.3037024,.17466888,.15582208,.44731092,.0912778,.101339,.09496631,.18455267,.25602415,.31042086,.25809883,.3916815,.46883455,.50400421,.16289271,.59854193,.80342091,.42515835,.7531176,.04297853,.68313285,1.3932955,1.4124238,.02571287,.43645507,.19159114,.83083317,.64929931,.06758642,1.1708667,.30714427,.20254052,.45230518,.40243185,.41578417,.0719845,.47184955,.10592757,.24116877,.44849954,1.2888547,.17950269,.66841067,.58907878,.44060272,.23779991,.71214649,.32711001,1.3534349,.46900179,.0972344,.28394091,.16558505,.3266221,.6070312,.46168446,.19342481,.54236771,.46246005
83,.35019271,.16299972,.3998657,.33618752,.17747501,.17755493,.20555964,.91938869,.2171952,.09418799,.1832626,.17255829,.16111101,.3415462,.06862943,.1060065,.08463172,.20201177,.23560413,.23611412,.25601911,.4227644,.41447422,.5688882,.17227765,.67503337,.6986147,.59931695,.81096984,.07414221,.28362343,1.0277019,1.2929451,.00907097,.42745051,.2533631,.79590825,.59174524,.08432761,.3728468,.17467091,.87958964,.63840805,.47457221,.25504022,.04907411,.43999395,.16483338,.25016367,.65323405,.72464159,.46500645,.56249282,.74997114,.37381081,.32846186,.97779121,.73222842,1.0952082,.36282466,.13604639,.18170332,.66473655,.32534802,1.0197372,.487482,.15374768,.64938357,1.0683034
84,.32774692,.14156051,.32337148,.31358441,.16409337,.19164351,.23503667,.7462967,.18221233,.06481898,.2479203,.11989467,.1305848,.39269079,.06964697,.09266852,.10330149,.1066994,.20951843,.17193003,.20621811,.45780186,.37429256,.50100425,.09981958,.71206448,.64040549,.38811985,.69728651,.03707615,.26896338,.88134419,1.1173297,.10296803,.72780907,.18149439,.73948509,.61288482,.03671793,.36493827,.38127353,.15969339,.33574272,.41571616,.38315017,.07148606,.4369727,.09696851,.2127375,.57996806,1.1079333,.19466878,.48357922,.79218953,.37970783,.20414138,.93843462,.23557726,1.0023668,.39791985,.08513911,.17347046,.20359659,.38171271,.4062017,.41480613,.08649719,.54274244,1.4435066
