year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.3212,.13759,.33227,.44859,.23028,.13722,.18026,.56486001,.18371,.16021,.12031,.13803,.15909,.43199,.08103,.13152,.06824,.12463,.2486,.1615,.28097,.35037,.27147,.29038,.10005312,.20749687,.49524244,.07334756,.85034002,.07772,.76820517,.04539,1.1703448,.01375,.24284999,.61893,.74848,.38899001,.0899,.01875,.09293,.92111539,.78550464,.28767,.18699999,.0886,.15978,.17435,.13827,.2137,.33833,.009,.30214,.2465,.29562,.1492,.27884999,.18420001,.40740001,.14175,.00125,.28048,.12815,.267,.1615,.38168999,.08538,.40038,.31479
76,.30161508,.13118127,.30615124,.39401866,.20315505,.10887049,.18652129,.58756894,.16176935,.16145113,.13754138,.11877451,.1449584,.28269302,.03752949,.13765505,.10422663,.10990471,.26120267,.13079633,.15108035,.31388889,.27512001,.32532194,.13804072,.35064692,.62044236,.23121575,.4482103,.10929944,.83144566,.06987042,1.2259397,.38641203,.07524884,.2467153,.66837845,.33149332,.07939809,.01370586,.07964854,.0219597,.372544,.26938762,.10584848,.05581935,.1881326,.15755945,.09597685,.28658593,.55218941,.077366,.21721075,.33472061,.49686408,.13893154,.03632021,.09912526,.24019713,.11876744,.06879231,.27558772,.14042108,.08767976,.15408812,.36356256,.05519566,.45174578,.53815439
77,.3000562,.12820547,.31148925,.3592294,.14791871,.09686811,.23381008,.47594601,.18278379,.10055304,.16530907,.10804867,.12484117,.3157695,.04608829,.1307961,.06889809,.07434479,.23164944,.10048272,.09226979,.2510752,.25729906,.33702802,.10187304,.28378563,.27869295,.22078562,.62563912,.08961802,.94664546,.11500896,1.308551,.04903683,.33533813,.52119999,.69540681,.36398714,.02413592,.03435982,.25787509,.32937631,.09081432,.29135245,.18936644,.04620367,.25239677,.17406924,.11628549,.26099694,.3569117,.09676875,.33610798,.14129369,.24595685,.12887389,.72502515,.10288723,.32823386,.11718088,.07059601,.24992837,.13061701,.68959458,.44620762,.29553619,.10296554,.29593464,.54973485
78,.31687652,.13268737,.270017,.32285909,.15012166,.14563076,.23092751,.56240021,.14400828,.11838564,.1625778,.14390511,.13942389,.32496231,.05036512,.07685773,.0509603,.07382599,.25537198,.12884104,.12614229,.32209552,.26898534,.34179836,.0326624,.33579894,.38276075,.20094208,.43599609,.02891935,.82985147,.03430298,1.123393,.11795423,.16919821,.75827014,.67659631,.44025267,.06770231,.02506447,.04395094,.15538128,.24063206,.25965343,.06625132,.03920776,.17341771,.25215221,.08935613,.08601586,.30499925,0,.38661476,.4075713,.21370664,.10090827,.02147126,.08268952,.46975501,.19160444,.11651022,.18768376,.0648582,.17656877,.29542225,.35727231,.06762392,.37869495,.41775304
79,.27319435,.10358042,.28949956,.48832397,.13061126,.10894653,.27769201,.52207248,.18377922,.09513498,.11112552,.12114564,.14024803,.2754814,.04179696,.06971427,.05930861,.09022901,.19869852,.14010388,.1086796,.27988064,.24881593,.48276096,.0277031,.31000146,.2228629,.30618822,.40261852,.06840807,.53691302,.29416794,1.0208169,.14042137,.11162844,.66635371,.69784463,.42690411,.03779428,.09468256,.09605916,.01465351,.11329379,.29333679,.09226074,.04369084,.2424491,.29860217,.06584685,.07300782,.20319888,.06514014,.39129005,.19588033,.29033025,.1056092,.27311875,.08547537,.61640741,.20489246,.02371001,.13946867,.03716036,.02943111,.34613147,.369248,.08589218,.41882579,.39417106
80,.30944664,.10010837,.29316041,.23818188,.15930413,.14806916,.24444051,.61966123,.20576088,.07046827,.15343784,.11678898,.15376946,.34841938,.04586748,.1000931,.07156413,.08214869,.26978647,.15701628,.13137322,.26827496,.27096091,.43631196,.09372953,.31637182,.37293004,.30600162,.5980026,.03358637,.87105139,.22590432,1.2740708,.00412125,.12415355,.37349948,.70016177,.31592967,.06627839,.44277231,.16368702,.13419091,.27210852,.26005519,.28918777,.06431316,.33835095,.15409785,.06659498,.16549295,.48498018,.24409766,.28524059,.5446585,.20721019,.26460231,.22816814,.16861822,.53745354,.19296247,.05501217,.26646251,.0633899,.01817326,.42671369,.39887368,.10425823,.46664689,.4203449
81,.34447937,.14302996,.30986901,.30415401,.21274902,.19529877,.27959649,.69247781,.26127287,.08462174,.237236,.10908494,.13958643,.33666285,.04752037,.11971992,.0939468,.09707345,.31054789,.16558825,.20370941,.37471251,.35556065,.38132705,.01856499,.3877124,.25953236,.37813677,.63060286,.06867725,.91080445,.02446617,1.4290786,.11600364,.54591744,.37341098,.75583845,.62292772,.04899402,.0114141,1.0104099,.01240925,.20151063,.34272315,.20821029,.07113612,.3300568,.17055194,.09731571,.07481746,.44091882,.32193249,.42879011,.28124303,.2652802,.23925201,.36950336,.36403243,.62502191,.24375235,.06315158,.16792119,.10473114,.41264352,.23659078,.40167081,.0500771,.53136111,.46040901
82,.29358573,.10972006,.28627395,.2863581,.12357245,.16945499,.21902627,.60446751,.24998804,.07609085,.18142436,.13003147,.10666152,.27671577,.07715267,.0946554,.08295726,.08028486,.20367365,.14386295,.14228858,.28453691,.30224536,.36463837,.03626672,.27138469,.31040741,.26457691,.40489908,.020608,.67494388,.36837559,1.3148043,.01483207,.1841746,.21320873,.80733836,.53612767,.07784671,.09268445,.07081375,.05704832,.29887357,.33342879,.19305301,.04832098,.38912541,.32476866,.15741495,.17981184,.70470289,.10520959,.49123642,.47091058,.32557382,.16026113,.62785234,.22378259,.74419203,.21926081,.0083363,.17205754,.03725251,.19155968,.26777529,.32916513,.156092,.51068872,2.6515899
83,.27887521,.07759631,.23294233,.50917356,.20799584,.30190863,.21651963,.64716123,.15315461,.05919434,.17273764,.10321161,.12863665,.28190712,.03814859,.11577051,.08922307,.0799851,.21583446,.10480922,.17820819,.31059061,.28372742,.36491669,.03484285,.28159506,.32824305,.35612288,.80316098,.0358833,.11531391,.25389219,1.2226211,.00163949,.15909327,.30987211,.67844273,.40720893,.00799514,.28456215,.11255505,.12091783,.13514178,.32282092,.16514336,.04559014,.40253178,.13888055,.11979247,.30579178,.64589839,.06578957,.31101395,.27419986,.23825863,.15481255,.57450297,.21666309,.30716556,.17423084,.0078556,.1059096,.06182558,.07461497,.27432996,.3291232,.12324639,.51637303,.45230809
84,.28129427,.12756965,.32236341,.26608084,.19706142,.18639883,.20564315,.70863424,.18009731,.09317764,.17762502,.10156571,.12781466,.28040738,.04332537,.11151029,.08309681,.1055076,.23883342,.15190452,.14732911,.32221577,.25678234,.37008827,.00840346,.22350585,.3186752,.18752194,.48748703,.08608467,.02716081,.16149852,1.1731313,.07683676,.2716619,.28139705,.7504504,.42804142,.24267352,.04759411,.1946198,.14423942,.20122393,.30064381,.14993306,.03963658,.32356441,.09188805,.58872967,.29174912,1.2584835,.08177903,.26842012,.44629381,.21438223,.23424907,.0733042,.15967489,.28628211,.1692422,.02887427,.14508022,.05618752,.2837415,.29459821,.2861883,.10531096,.54969612,.66237726
