year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.54083,.21513,.62924,.77417,.27977,.28443,.31266,1.09799,.26288,.22797,.19331,.25496,.28391,.73567,.10632,.12075,.15128,.33662,.25232,.45453999,.48326001,.71156,.62534,.80851,.74313439,1.2793457,2.268936,1.4678439,1.6791401,.11926,.84294861,3.8405,1.9604014,.30977,.39697,.33414,1.1331,.70750999,.11042,.71736999,.66217999,.9067823,.87341768,.73814,.22664001,.13321,.48268,.5629,.48259999,.94144999,1.45484,.76356998,.99473999,1.06973,.86599,1.04968,3.44603,.91221,2.55394,.84368001,.34631002,.44129999,.1929,1.04054,1.84028,.81551999,.19638,.69635,2.30369
76,.44257261,.21958048,.65155561,.77132615,.30155893,.26381492,.31190051,1.0938703,.2279275,.25790217,.17385389,.24281489,.25259318,.58246845,.13760814,.11356218,.17634304,.26935347,.27173776,.3807027,.29747079,.65787302,.59405532,.59396573,.60680213,1.3772239,1.8406316,.85757281,1.5491845,.17108885,.73064447,4.0300055,1.8602432,.56272199,1.1291986,.47117579,.97018437,.77096111,.07550945,.39188596,2.7934879,.96816162,.65685287,.60859181,.35211707,.09989607,.4952552,.27835903,.34642379,1.2526734,1.0819122,.48339276,.92829521,.61798121,.63837497,.45980049,1.7467107,1.7733356,2.4632493,.72467619,.20748873,.60314905,.40707253,.49413759,1.4164512,.83604075,.26725828,.69648837,1.5860013
77,.43287743,.2084234,.47631282,.50298488,.21254639,.18509934,.28782706,.88528995,.19457128,.15129254,.21528853,.198036,.20756662,.51801279,.12105997,.15164378,.09480177,.25430133,.25880144,.30254286,.15619461,.47182949,.62157468,.72447831,.4080252,1.4716299,1.7964484,.64583998,1.4291657,.06878685,.72720026,3.3521002,1.6708702,.51902627,.46260467,.19099381,.95141311,.54676433,.2211178,.43499194,.66296546,.70636032,.79088645,.61468066,.36663643,.08348533,.38154662,.50351199,1.0659984,.51811517,1.6464696,.41246859,1.1152803,.62481093,.59499535,.3892262,2.4566262,1.0504953,2.4726779,.63099359,.28961741,.56748724,.3794602,.40907768,1.4796246,.68870236,.12942677,.56755552,1.8786661
78,.45946866,.17897381,.56419488,.64908056,.24842979,.31768575,.29300281,1.0482192,.18720909,.1653532,.17094822,.18087177,.20355889,.41986994,.10090671,.06496516,.146589,.29164101,.25336716,.31273875,.29769977,.5992183,.42574648,.80280949,.54928741,1.6559127,1.6345101,1.299996,1.4742075,.08562972,.97556123,4.233096,1.7530854,.061746,.64409959,.23922978,1.1259201,.75040369,.07492413,.18437148,.49754062,.32483759,.74344111,.73735213,.28965243,.10040283,.48504105,.4056137,.54443357,1.5749822,1.7464486,.33404095,1.3165289,.91599623,.55408699,.51546696,2.4997697,.94933395,2.0749295,.71294755,.36715336,.55052346,.61767449,.18278133,1.834494,.70164913,.12277209,.74361715,1.3647862
79,.49921493,.14486579,.54907195,.63693379,.30655309,.24683964,.37061362,1.1429607,.18414913,.15574442,.1588399,.18452101,.16224244,.43818277,.11027248,.12423452,.12302256,.2052603,.24205142,.34639595,.28378519,.51453592,.55781033,.64186518,.45075556,1.4369595,1.9546287,.93829624,1.2850845,.17169181,.59652506,4.5160128,1.6081006,.57185651,.74588723,.12542699,.81873373,.82486103,.16299901,.81278643,.65109507,.20304111,.66355252,.57383038,.19546,.05955,.59208197,.35480296,2.0601921,1.4332735,1.3646775,.33223556,.89146647,.71418203,.64744237,.50219493,2.616861,.9976901,3.6359632,.75404959,.21113275,.38432863,.67460112,.49499701,1.2757218,.55004926,.28652305,.67610008,2.1135104
80,.45221685,.18083736,.47617821,.63807454,.28580846,.28402691,.32423395,1.0629504,.24034999,.12456775,.23925684,.22093398,.19726659,.45078857,.13552468,.10166477,.13381782,.20746194,.30857966,.29017433,.213218,.67518143,.62714487,.8240677,.46075068,1.4708675,1.7347839,1.2103476,1.0937917,.13485181,.68713111,3.8381735,1.8071091,.73964135,.86090581,.07552609,1.0616886,.83275532,.16501684,.47540165,1.3982873,1.0290164,1.329102,.70405908,.4248508,.07758047,.61898881,.28859957,1.4016893,1.1256669,1.6919813,.3469957,.94634388,.77623035,.66479996,.42527062,2.4195089,.45849056,2.6437692,.76284794,.57166249,.4880903,.38063714,1.4762651,1.4782875,.8615088,.26488798,.54288348,2.1282457
81,.44884945,.22495676,.54814972,.68207329,.17317526,.29863318,.38799911,1.2117446,.25725118,.14064847,.28747534,.21653935,.20683344,.48396154,.13208712,.10814751,.10660407,.19543533,.25766489,.30934679,.36308538,.72382035,.64927353,.80964868,.40482541,1.6618303,1.8135451,.98914845,1.5473896,.42868119,1.0031501,3.6498661,1.9642553,.39979281,.6436151,.20253254,.97419814,.84749298,.2128202,1.526302,.47120053,.46214797,.94024214,.59810105,.66366558,.08413127,.58800879,.37466779,.56824314,.55657754,2.6608286,.30267511,1.0543078,.78932616,.60995612,.46822436,3.4919182,1.0491606,2.4847163,.64571016,.32022689,.48002394,.51822965,.68168588,1.446861,.64054375,.18517976,.68630404,2.7356279
82,.42864263,.19930125,.52486858,.53271389,.21616146,.38438778,.36824298,1.2054266,.29421511,.09733608,.22199796,.20690759,.15761355,.54625369,.13858644,.09044198,.17205731,.26843432,.23511225,.26717518,.28562851,.59977734,.65607238,.8098913,.41827501,1.6815362,1.4443547,1.051186,.93129741,.056672,.5982332,3.1458233,1.5565664,.47268314,.62990149,.36529254,1.062719,.6835368,.19078249,1.8114587,.35541623,.44201854,.65372072,.66265396,.55569137,.0707935,.53565607,.26436369,.82634583,.94360637,1.9927824,.56653094,1.000508,.875279,.6297769,.43445492,3.1416907,.65269804,2.827467,.93036138,.15707054,.2451828,6.0844099,.63448792,1.9758202,.57940433,.30223425,.67452784,3.1003151
83,.32749378,.19117983,.50361804,.3720948,.28509168,.25877742,.35451788,.95910679,.33045615,.09284382,.22838251,.26833531,.1367541,.39439929,.14803977,.11225993,.13654734,.2789902,.20292979,.20720059,.3053884,.66724506,.7801205,.81408049,.32756999,1.7027404,1.088247,1.0569561,.98325337,.08428394,.48911955,3.8473527,1.6398909,.67537456,.5838,.14179735,.93335586,.96216081,.19666088,.56972195,.70695366,.30746694,.72763958,.54817658,.39199254,.07846792,.69631914,.36447919,.84074774,1.095032,2.5514325,.6846458,1.0596275,1.4822155,.63409079,.40865428,2.8202596,.95489323,3.4162752,1.0105524,.19644539,.21823809,.32299222,1.1096301,1.4947503,.56256839,.50989455,.67011783,2.6721946
84,.48142551,.21412505,.52642398,.57732213,.17882656,.27265156,.3889067,1.2820066,.27291973,.1091086,.31865991,.2014303,.16436167,.45293457,.11656253,.13396779,.19321636,.18986682,.29465157,.36237255,.30648025,.61807217,.62022374,.86721321,.3947428,1.6394121,1.4910748,1.0148133,1.4130282,.20170237,.38626046,3.2771212,1.5116532,.0917621,.64809291,.14606735,.98327278,.87507641,.19639671,1.0981133,.63794123,.66314151,1.016075,.69591149,1.087187,.07094398,.60288872,.10581003,.4963461,1.7833332,2.9112597,.82331655,.97734758,1.4449392,.63932185,.4199741,2.5831545,.92647678,2.9423187,.88730173,.07880321,.28160754,.97142756,.70564169,1.7430553,.54723962,.26838152,.85228301,1.9161775
