year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.53551,.16197,.49311,.63968,.21577,.19488,.29822,.85758,.21788,.22085,.17717,.19236,.27667,.62194,.10408,.11895,.09098,.29409,.27011,.34530999,.48252,.53392001,.37544,.75625,.44864063,.69195938,1.5743303,.67518975,1.5142,.08535,1.0435662,1.88118,1.5839638,.05755,.42129001,.3332351,1.0358734,.51215283,.07336868,.43403,.5646,.42958616,.51309385,.61425,.22501,.12721,.27068,.4499,.54631,.72971,.65954999,.37691999,.91918999,.68014,.44287,.2622,1.03377,.83393999,1.51639,.47804,.30251999,.41180001,.23095,.28609,.68904,.6465,.1316,.5643,1.24589
76,.44537015,.1696314,.45397022,.44114214,.18141119,.17659706,.26362873,.8687208,.23209071,.19181549,.20509301,.18552562,.20050757,.44570317,.1141921,.13505486,.15083093,.18528245,.29704057,.32361595,.31341141,.46560318,.34948349,.58340278,.36832003,.68013189,1.1204701,.64686407,1.2023693,.13106454,.93171661,1.9941935,1.436993,.60882625,.59196598,.46193726,.99687001,.48763027,.05343714,.27350626,.30580551,.17513775,.29142964,.44253172,.20813493,.04185776,.21808459,.13523354,.25849389,.19764606,.936607,.29896147,.5692404,.50720564,.49066707,.53536933,1.3255995,.67345983,1.3887242,.38496701,.24423482,.42941495,.29179681,.86174982,.71718168,.55786545,.14156224,.48340631,.752704
77,.44188849,.24633553,.60548306,.53720802,.17650682,.28092864,.34445317,.82260187,.22859627,.17902888,.24058333,.21037588,.18855168,.5360298,.09834254,.14515993,.15757931,.15552744,.36870657,.27781605,.16129507,.43709746,.43362318,.57192987,.3032516,1.0109007,.8853953,.33017475,1.3125597,.09766484,1.1046586,1.3824913,1.5692337,0,.56825277,.58505378,.86822604,.62929776,.13458317,.35531454,.81146222,.16789334,.57575037,.42660559,.27155542,.05178648,.28705811,.35341267,.28540383,.29185578,.87602843,.34013694,.78951012,.54064576,.34485122,.28666829,1.0564094,1.0952386,1.6529595,.52060863,.12772764,.37144835,.10425215,.181167,1.1416093,.52759208,.14834327,.53877445,1.0788042
78,.38414074,.13393836,.44577662,.51452645,.17088739,.22504182,.38879831,1.0275684,.15096748,.15652824,.18302851,.15234192,.17836278,.37267235,.11406237,.08461619,.06992581,.16349112,.23531357,.2847153,.29338682,.49708118,.34179579,.68801911,.23317423,.71205876,.89745111,.60064649,1.2196152,.08259449,.92910881,2.1984261,1.4026711,.03707529,.35424769,.41909272,1.0203497,.49282384,.20160715,.84171293,.23603923,.36319154,.51264181,.57408169,.17455915,.07205165,.32443206,.23356298,.23644334,.39118614,.82623015,.2565336,.75318697,.73200561,.4008537,.28236741,1.0480037,.18222243,1.3089697,.43005303,.08184947,.39267104,.2446606,.15860052,.79305855,.54931733,.08549299,.62973485,.817958
79,.37045095,.13859185,.59355915,.72018861,.19010105,.15087403,.25140065,.83417922,.20253168,.11883367,.20955789,.21043166,.18814148,.41541189,.14805767,.08452916,.09820945,.17340848,.26459493,.26475276,.22979418,.44279339,.51686798,.55153795,.22508355,.86873168,.91053675,.69326832,.99487294,.09153574,.72379752,2.2171039,1.3514716,.15698337,.42364193,.4106598,.89760124,.52180183,.22733965,.68469286,.79471834,.2827662,.61114922,.45984431,.18680474,.08241758,.42503886,.333285,1.9434764,.49527715,.8612248,.69607043,.66292081,.77272163,.56233141,.23861546,1.7016074,.90017011,1.749731,.5090397,.19408706,.17747179,.35532721,.14177261,1.2694031,.64057066,.16178907,.5457967,1.0313802
80,.45261874,.18080489,.55705912,.41396099,.2238081,.1981932,.27314926,1.0297679,.20013581,.11486221,.25002441,.18017567,.17719849,.46327147,.16053392,.10349321,.08636205,.23645806,.31561057,.36450223,.24346499,.48345962,.51798566,.70737196,.18359947,.73259888,.98173665,.62879333,.86553866,.03062074,.82615877,1.1348677,1.5528267,.6807981,.65287298,.48243212,.86198813,.75215586,.07913248,.43074726,.47199022,.2942771,.67707925,.52476329,.25063086,.08080199,.4169881,.2523703,.24149837,.49755581,1.3474392,.47260907,.62972391,.82479525,.41887713,.20255492,1.3616452,1.0026839,1.9146943,.50604546,.16946202,.23353318,.21373848,.11471871,1.2445889,.59740308,.25891377,.60164069,2.0852361
81,.43981201,.19314306,.48816241,.54233106,.2994427,.3180834,.2926456,1.0150539,.20320766,.13371056,.30489675,.22900867,.17271654,.43607155,.11590219,.10108402,.11007571,.17739283,.29997423,.26153825,.29661973,.57263082,.51184195,.60500899,.17610544,.79685202,1.2124777,.41248255,1.3003065,.07666145,.90500935,2.0290144,1.6075228,.17433855,.51455793,.36404591,.92187003,.70107862,.13869019,.77495913,.33269181,.25862681,.42566278,.48746159,.22108719,.08983418,.55138188,.18734552,.26457246,.6465574,.92105606,.22010486,.58776067,.72441584,.50659411,.24043462,1.291299,1.1764005,2.3852801,.6599402,.12498155,.26683514,.67553746,1.1975846,.72307969,.57057265,.17819668,.71377636,1.0860272
82,.3849546,.15958942,.46084078,.33306831,.17000579,.2026387,.28285359,1.0885393,.1904305,.11782728,.24253869,.18963597,.15574694,.49358012,.09617397,.10483632,.13090656,.18946567,.2343642,.23431781,.23767547,.42011414,.49652581,.57880551,.31229577,.74392786,1.0173056,.81801133,.81245847,.08810937,.75364541,1.5795424,1.5600863,.21193541,.27105834,.27361662,.89667686,.64345386,.04884735,.31242392,.28422764,.32532817,.5152172,.47654147,.40535569,.07307698,.43555895,.14926157,.24188389,.18848405,1.2852276,.15544613,.5276326,.50006912,.39048971,.19035549,.97797391,.89990322,1.9953547,.597638,.09248524,.25602872,.59078236,.47777155,.96384678,.50439174,.24653265,.61599126,.94854297
83,.39268267,.17675067,.49903432,.31325633,.24957084,.28966956,.25404234,.86926844,.22328727,.11157445,.23419251,.17728355,.16744691,.41315918,.10537661,.09853256,.10653311,.19657216,.24191892,.18775726,.34512322,.5105036,.4949364,.72877715,.21343408,.88577984,.91458483,.45708092,.86285604,.10283102,.55772561,1.8182108,1.4005789,.16022421,.5501578,.20056373,.94689056,.62811674,.07427781,1.5786115,.92215553,.23721563,.49340288,.49507789,.21484945,.05876098,.43970836,.10085813,.21401703,.71532992,2.083919,.56744298,.6080664,.72446001,.47413292,.29122749,2.0070267,.4067721,1.7867514,.47919329,.07971031,.2621419,.36855657,1.3728411,.81330344,.40674556,.06818535,.56290668,1.3968788
84,.34953085,.16503026,.39408384,.38716043,.17896532,.21662386,.27712989,.81826416,.18220842,.0776939,.24770779,.13826733,.1394681,.40356807,.09005854,.10738769,.10650961,.14058364,.21944963,.16364513,.19583863,.41503384,.3901349,.67932838,.18700177,.9068353,.78262142,.38285585,.61235803,.11149005,.33012389,1.94936,1.286072,.06606279,.60713478,.6399603,.74782346,.59777146,.12887736,.2119965,.32330662,.38024791,.51123032,.451873,.22611048,.06084263,.506994,.24871498,.45320872,.83103914,1.0322233,.42082002,.42434441,.72049129,.43208234,.23983447,1.9055918,.35827134,1.464671,.58206774,.07569002,.15746829,.45028191,.32787637,.8186303,.3639428,.14232353,.75515655,1.1051423
