year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.35399,.09122,.24644,.28501,.14164,.06552,.13183,.49047,.11426,.1123,.09218,.08558,.15856,.28474,.06355,.10229,.07363,.09396,.21526,.10614,.21749,.30238,.21834,.3229,.05384375,.12545625,.39173001,.0406,.87171002,.0075,1.6942824,0,1.6073076,.0354,.05085,.22674642,.72551096,.44073246,.09757019,.093,.41145001,.16348231,.10013769,.25051,.12704,.0518,.12715,.1071,.06652,.0015,.20341,.17485001,.14856,.2872,.21508,.05125,.17191999,.07065,.2907,.09944,.0174,.30355,.0537,.09193,.19137,.3006,.03998,.35146,.0539
76,.29650581,.08691122,.20502226,.24913134,.15005722,.08631863,.13471345,.54835377,.12587843,.10185397,.12063013,.10429757,.17026971,.27400166,.06224598,.09765,.09614916,.16861133,.24530703,.10034428,.18815944,.36198413,.17655776,.33479159,.03484967,.08536663,.17312243,.01699477,.81236736,.02076449,1.5176244,0,1.4464595,0,.03393824,.25342384,.579633,.28599425,.04663836,.02822047,.12493473,.07524611,.0668673,.28424619,.13266319,.03384038,.05014162,.13559299,.0209766,.03558647,.23571474,.08906221,.14446127,.12740875,.22199802,.06085418,0,.00752469,.18895762,.05908434,.02997425,.20671722,.01331565,.07900244,.14448694,.24969947,.00429621,.29517746,.20250166
77,.28472091,.17326805,.29736536,.2450216,.16425387,.0899675,.14925844,.42101463,.14859669,.11302758,.13487275,.11217329,.1379565,.28949708,.08301453,.09023017,.06368614,.13214152,.25740536,.13828671,.09428724,.23000109,.2642889,.32404036,.04049723,.47923711,.49925381,.12066517,.50031617,.11590088,.4738316,.78320511,.94008011,.67072203,.04888196,.76000177,.59734129,.27290196,.11105217,.1531556,.14035308,.09012275,.20174307,.27119533,.40102723,.05125703,.17707068,.10175587,.25352971,.05275016,.68277122,.25042626,.71322632,.28294448,.17902452,.09251183,1.029421,.07926299,.60955559,.23487833,.03475651,.17611981,.20561986,.27035933,.4783022,.38364271,.09097415,.274657,.2589787
78,.23052922,.10864421,.22365601,.30865452,.12097729,.12388956,.17109874,.45533383,.08818343,.08174577,.08260668,.08481896,.09635218,.26543787,.04718878,.04031504,.05246939,.07107371,.17378125,.08344528,.09483197,.29153758,.20319377,.28876156,.08864752,.427087,.31424177,.27835715,.44765134,.06386404,.62128751,.49242448,1.0299672,.11075515,.15136553,.1550089,.63354382,.29147488,.17310948,.04265766,.03956252,.20336163,.44136085,.23028439,.1973503,.07118101,.29876105,.2325782,.26302954,.04445233,.28278758,.08676992,.2893195,.12991021,.19723022,.20155292,.07548194,.54929003,.46061305,.23007733,.04186983,.10915163,.07947824,.05385212,.29274139,.30490807,.02332166,.31408665,.5069638
79,.2353855,.07868356,.24801309,.18756315,.10390943,.09983905,.11955494,.39619895,.12726496,.07209801,.08923432,.10992009,.08647841,.22274353,.03682409,.06032842,.047766,.06597383,.18772495,.10846215,.11024661,.22629964,.2021614,.37047443,.06469424,.39522195,.44591809,.13183861,.39584714,.05397901,.70591593,.17969505,1.0701749,0,.16637342,.24547907,.57417791,.33676278,.10133352,.05147065,.04343963,.05751688,.25210913,.31260717,.18199005,.04556681,.23199143,.24946229,.24366373,.0924469,.37790686,.09192461,.30569535,.4224359,.18371961,.05390707,.52196637,.29591979,.68339868,.18454119,.05808852,.13280186,.14903038,.14792142,.6468875,.28343411,.04907015,.28128216,.51092193
80,.22124081,.13268084,.25393937,.25994949,.13430766,.08585045,.18671542,.44924749,.13284225,.06528112,.14450225,.10568106,.1010176,.24424964,.05674984,.06660165,.0519482,.14723038,.16745225,.09779675,.15795933,.26191822,.23989239,.3298202,.06009263,.47686968,.35514802,.23678779,.46502162,.0490173,.77578803,.33221855,1.1109373,.01143648,.13165198,.12914072,.6420394,.46508513,.02688859,.06119424,.05657855,.05122111,.13596143,.27627527,.16468969,.05023313,.37561642,.07917016,.16000047,.13822653,.55046744,.23390202,.3667994,.3236841,.15180144,.07047,.42518693,.44126762,.34418805,.1852074,.05763101,.17080731,.03784321,.06183168,.21607751,.39461448,.04856086,.33034673,.52480434
81,.26085503,.10906942,.27869717,.22735643,.08779662,.12374487,.19142718,.52440022,.13073938,.06706856,.14811879,.11776148,.1088011,.23534989,.07887548,.05384517,.04550317,.07157813,.17364917,.09826816,.12376855,.27267544,.29023127,.27948202,.05052972,.41301898,.30873479,.26260231,.47023175,.01162534,.45080563,.67537555,1.2162378,.02698708,.25545965,.36124476,.64181628,.4643444,.13668337,.08338142,.34616298,.28790073,.43223107,.21795407,.19188044,.02386007,.36182141,.15807206,.11759846,.07281802,.37817227,.08216174,.40533749,.31329194,.21750661,.15383085,.40971444,.07846867,.4185507,.18360404,.09727115,.13254885,.07700114,.09337491,.24355924,.28119102,.04724332,.2859634,.47499613
82,.22452137,.07439356,.19845295,.12520068,.09329646,.11985134,.13923464,.42840648,.13556033,.06139877,.10228045,.10804174,.11139131,.15932074,.05484748,.04923368,.06120271,.07822149,.1475896,.07192949,.09938136,.21823591,.18175032,.37762923,.04437562,.37776854,.4794784,.33273258,.58233768,.00677895,.69538625,.15009064,1.1091151,0,.21953631,.20125692,.56270719,.33079861,.04700386,0,.04184773,.02305642,.1030303,.24502004,.10944442,.03774108,.28624275,.09547488,.09803268,.46357575,.5404214,.00673891,.35336578,.52488963,.2048144,.09995685,.57539762,.67026412,.44119506,.19499408,.08526325,.17524062,.11809989,.039825,.65418817,.2667768,.04509277,.371761,1.0923142
83,.24690825,.13307773,.24920046,.20533768,.16256667,.13319686,.12590564,.46874941,.14317607,.05406103,.11208487,.10538652,.07702211,.20678356,.05294022,.05554268,.06586738,.08622706,.14854133,.10635529,.15419589,.30377955,.29935274,.29076951,.01133613,.47337802,.47936097,.25449968,.43732371,.0326072,.20126418,.69574972,1.0128729,0,.13717262,.27029609,.69617475,.43554168,.02117592,.40083067,.05452998,.11915116,.19181046,.25351665,.13457573,.0295964,.3348311,.08447109,.17233582,.40233367,.63879363,.18432569,.16101848,.3603006,.26453048,.08282714,.76833649,.0797507,.56446785,.3146395,.0490969,.11408322,.06732432,.18352756,.30140085,.23029535,.08065852,.3620452,.16651207
84,.23167456,.1119418,.16916858,.1598357,.10247112,.06755452,.14776738,.44993419,.09859279,.06144759,.11517324,.07099951,.09564711,.15710511,.03437231,.07233146,.06605164,.05728882,.14993721,.07179879,.09865901,.29186303,.17314155,.33412039,.02088566,.34178816,.52411874,.21393922,.52079892,.04804929,-.85617155,.16982733,1.3056425,.00181073,.03132652,.12814821,.5850879,.38502472,.05750746,.02306683,.05931053,.17380996,.16109888,.22080586,.2300833,.03755429,.26948219,.10359586,.14282194,.33068562,.66601338,.05077734,.2818868,.35490493,.18077767,.05145038,.71920697,.07041442,.51614435,.16461808,.05810013,.20722313,.13354715,.28481944,.4249713,.25531667,.05396226,.28281417,.29185116
85,.26586982,.14552433,.24279109,.21274984,.14905977,.1067496,.16198131,.55029624,.14553228,.04086587,.14789977,.08204841,.10434841,.15884273,.06173892,.04889959,.05130089,.10783913,.1324318,.09336155,.14729212,.33779848,.2287943,.41007686,.0458147,.6159398,.48801469,.22135025,.52765536,.03649685,-.43598725,.87391421,1.325702,.07154978,.14580294,.09127682,.64004168,.52121916,.01010219,.03285,.08367307,.10396294,.19578821,.33622528,.09746736,.05242989,.27231353,.05906165,.09846624,.22148642,.18723228,.1956199,.20703688,.5365398,.24282634,.06892965,.3310249,1.1413199,.8615941,.20198704,.05343285,.15103524,.35705664,.09815408,.55405237,.24000485,.09598145,.34104308,.26778828
86,.25602552,.15632505,.32426963,.23404706,.10304536,.09559821,.16425756,.62602811,.15559844,.04734124,.15567848,.15136948,.10200757,.26368443,.06149603,.08124451,.06800893,.09649657,.17851377,.11795748,.16930212,.30575565,.37264317,.52068035,.08508614,.92975216,.51543859,.4956942,.51909688,.04597002,-.11277459,.97428521,1.2726338,.60188765,1.6510942,.18754101,.6924294,.49433191,.13685775,.08288258,.09238026,.32926416,.33815638,.31149021,.37874409,.07228269,.33430978,.11678998,.77399189,.47685896,1.3228857,.32257046,.34544531,.56985568,.41041217,.23270673,.87667163,.71875493,1.0921083,.39132113,.09223674,.16661912,.65836739,.48201302,1.062059,.29795323,.11088481,.38598654,.8345073
87,.24598974,.10203825,.25923462,.24110793,.06411197,.09098195,.12786992,.56070706,.11721741,.0522898,.15189212,.09345426,.09390495,.2128442,.06304856,.04984255,.06966663,.11422207,.12549989,.10258128,.14432914,.2836485,.27917379,.46435315,.07059354,.44839083,.4849118,.19975835,.4688512,.02043082,-.51052871,.88601245,1.3136322,.58581944,.19569295,.10193156,.74031139,.57502076,.05391113,.07399429,.06388358,.15426918,.12425062,.25375731,.47591171,.05488341,.44716471,.06071081,.19063261,.5524474,.48499318,.16793232,.19435179,.26577978,.23244897,.20685875,1.5296167,.11968975,.52131143,.22446191,.03632438,.15652942,.14537084,.37133926,.54386695,.24647951,.12126964,.52251205,.21764401
88,.20892684,.12505189,.25394769,.13607714,.0929698,.09881564,.14370408,.61560197,.13524307,.02878433,.13958625,.09979718,.07478307,.19076751,.05160053,.05349873,.06104925,.17827116,.11859403,.10474951,.12498645,.25467084,.22721596,.43279269,.02990152,.34518961,.42576324,.26935787,.42058203,.00422174,-.2558207,.7274919,1.3662931,.02324265,.24571799,.21387269,.81152023,.51809627,.03565633,.01194048,.2392482,.270449,.15114972,.32443146,.25182759,.05655944,.32863027,.14944081,.17575991,.48704061,.66149631,.22323357,.27582669,.19976018,.22321579,.08724241,1.8122911,.05624125,.71326382,.26215721,.03529061,.13812742,.17125315,.18663715,.32007012,.22993012,.06136658,.41308544,.46308435
89,.2193889,.10749303,.20160294,.11639374,.16047244,.08406105,.11894462,.51142921,.15183933,.05866264,.14455165,.09973754,.08369151,.19124031,.05981692,.06610143,.06186725,.15131131,.12422114,.10418461,.13837152,.32588834,.25193716,.4082882,.09116654,.59607714,.44412113,.17043618,.43056389,.01627129,-.04353612,1.3191813,1.5540726,.22123167,.06322563,.07914752,.74974938,.58205114,.03069765,.52937794,1.0423435,.68088294,.54188333,.32025785,.08851241,.05356127,.37719779,.05639063,.12036088,.64730937,.71053538,.41877309,.26526619,.53082919,.34247968,.17158451,2.211245,.22361183,1.033927,.35752395,.0620371,.13452259,.48460728,.15260715,.64497414,.30685486,.13340974,.4606656,.37854118
90,.22683932,.08739126,.20086014,.11175985,.1429868,.09950772,.09920914,.68879485,.11820941,.03224623,.1563266,.13364571,.08365116,.18418465,.07219499,.0607099,.05540108,.16679163,.11603669,.05267177,.1511229,.37014483,.23530165,.5088595,.04342272,.46371184,.43186347,.38863128,.56343963,.06816241,-.13593519,.98637803,1.6026485,.24646325,.08289601,.01079291,.77758327,.63369084,.05909106,.3401365,.30804518,.04631334,.06214542,.29820696,.16230718,.03832234,.45113919,.06505989,.21581146,.44233671,.63566413,.17712605,.24944217,.35758626,.30499287,.11995087,1.4495198,.05213376,.83808855,.37151444,.08896849,.10035527,.07702564,.05444364,.37806156,.17182543,.1373016,.40854673,.61940459
