year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.36028,.12852,.32708,.44957,.2335,.14823,.24898,.57010999,.203,.16772,.14271,.15548,.20163,.44318,.10361,.11438,.1112,.14085,.25164,.23764,.25793,.46899,.35097,.43855,.17665937,.39970061,.71377391,.2802561,.96886,.12758,1.28286,.32155,1.40499,.27499999,.15353,.66604358,.76389906,.40363755,.04434981,0,.37868001,.20502462,.36925539,.42352,.10287,.13932,.28558,.1697,.14386,.13275,.95194999,.17092,.55275,.35821,.34523,.28843,.27625999,.10346,.81623999,.30623,.149,.35348,.1103,.01858,.3579,.38205,.12898,.44376,1.53109
76,.30416973,.12025463,.28984184,.32839048,.143574,.09109878,.23245746,.61476793,.20965469,.14059625,.17797276,.12938147,.17060461,.3549856,.04544388,.11586003,.09358978,.10368862,.28451708,.15176574,.14689837,.34970635,.30181414,.35659974,.11007884,.27938409,.37245708,.35585581,.7119797,.05353626,.75988916,.17619936,1.0745632,.05462805,.27570055,.30726123,.87854743,.24849501,.21548094,.07478425,.15620377,.16577073,.25758736,.33359871,.1891133,.0749153,.19785376,.68593676,.37723187,.07344422,.39724379,.09236708,.60761709,.262079,.2650891,.21008437,.25801869,.65240744,.52245258,.24024651,.05448427,.2972287,.10950533,.05539884,.41230637,.35328095,.11491723,.38414087,.37776522
77,.30929066,.1030155,.34089995,.40867369,.19654563,.14558041,.24244328,.59640293,.14365203,.12003099,.13404724,.12540332,.13176879,.34939172,.09084885,.1508333,.13947405,.09542284,.26536408,.19706005,.11977985,.32175781,.2493564,.4127608,.08998693,.6229573,.67183638,.32050608,.87066847,.06109074,.82002598,.24078533,1.2987473,.18330224,.26597304,.19788489,.81821726,.4315424,.09741607,.15325521,.02688016,.19032666,.17236259,.39300807,.23899987,.06918494,.2496846,.14957258,.24930987,.1327675,.25737603,.10641091,.54585798,.32348755,.76341588,.18465159,1.0723678,.59203374,1.0480951,.30202573,.02213838,.23415788,.11584777,.06481727,.3280581,.33101259,.14123591,.47993828,.52295532
78,.31632555,.10471254,.30626829,.40312555,.15957357,.12663574,.22520033,.67304023,.12310268,.11185306,.13633039,.10942725,.15899607,.28240883,.05654135,.06790212,.05612989,.09516294,.25450836,.15521205,.18422472,.40382244,.25046628,.38254715,.11155828,.53033756,.50826897,.42503895,.69154991,.05551433,1.2342742,.13647181,1.3429664,.02768879,.07157842,.32036731,.78691528,.33485207,.19349186,.43737156,.13589389,.08439261,.12265656,.29279901,.10367111,.0657455,.28011936,.16470743,.11585115,.14937223,.74791975,.02860179,.56699053,.56222961,.25459661,.14622179,.35165519,.35967306,.72460069,.28824829,.13044924,.20668808,.0996331,1.1658759,.87213378,.46112074,.05396282,.38384585,.44849847
79,.28436848,.10788057,.28319004,.32746284,.13087152,.13002366,.20687096,.70137806,.11296172,.08969912,.11425395,.09773469,.13274082,.28133079,.05395647,.09307606,.03877242,.08499688,.25888794,.12209338,.13342822,.29849955,.23609477,.36957922,.05754362,.4419317,.60332366,.2707743,.72536589,.13307348,.87844867,.18572404,1.1895833,.01189541,.29336599,.14567541,.7328968,.43756323,.03009121,.04417415,.60062717,.07251796,.23884701,.24693433,.14196491,.04495592,.32874727,.0941005,.17324189,.1264367,.22875836,.02687568,.39243458,.25211078,.23824183,.1467428,.45871953,.31156648,.76510823,.23603943,.03236446,.21525655,.05011562,.28001496,.58748145,.37219161,.04918926,.37175718,1.346609
80,.31972521,.13301063,.38057954,.23786963,.20235139,.13392246,.26976573,.65254039,.216047,.09267563,.18948676,.13646813,.1727611,.33852309,.07326859,.10542279,.09874182,.10877468,.2504104,.22480241,.16274663,.42873077,.34271808,.54112831,.15418706,.54128058,.76963124,.34572201,.86798209,.1464877,.83114263,.25007402,1.3559114,.61818803,.24320285,.55150148,.70562304,.51900246,.15906586,.24084275,.50972657,.08892401,.22493051,.31484451,.04855033,.06876213,.35594485,.17656718,.18740051,.3649516,.36656546,.14653585,.58833734,.44115165,.36402667,.16027704,.74894537,.30976995,.88769997,.23398711,.03114428,.22756687,.12079554,.10913185,.41268402,.38694496,.11455156,.46122042,.62391943
81,.32568846,.14148263,.33560903,.42444549,.17679987,.20778182,.22968727,.6972243,.19400672,.09107493,.20711302,.12009308,.15334726,.27955666,.07504065,.09172071,.08168033,.08621062,.27896662,.13890705,.21566283,.38762389,.34174839,.45385216,.03342448,.40814757,.47361903,.37900206,.90171218,.04509755,1.1863634,.42698739,1.5776121,.18255363,.41405945,.46103032,.74793156,.59273553,.06117113,.131885,.14549341,.13975242,.27296912,.3409939,.14033993,.05164672,.44392852,.15040972,.20499882,.50043192,.79922254,.1688746,.34518816,.37276048,.30399968,.39854108,.08746882,.38910944,1.178085,.23441339,.10965349,.16401764,.14577443,.21570763,.44479837,.45137215,.09066002,.582171,1.233919
82,.28226987,.12375619,.30586652,.32850572,.14088987,.15019607,.22176772,.63297579,.17266858,.08552486,.19636436,.12141853,.14662746,.3261292,.06782363,.10197553,.07976933,.06832597,.23908841,.16462373,.14024754,.31297764,.30125873,.41411892,.0686336,.36341969,.41905088,.18945869,.79731938,.03454891,1.1196974,.16468239,1.5841988,.16153604,.42659309,.67354132,.68329429,.40543416,.10894353,.10388391,.61287463,.21549078,.23790515,.30508472,.14993624,.06251156,.25826963,.11690551,.25585579,.19287478,1.0052506,.07082737,.62466192,.66143087,.20573771,.15639822,.24618711,.1207322,.58408196,.25128049,.09999352,.26219199,.07780587,.03829053,.44589409,.29136635,.20880866,.51959974,.77606241
83,.29486764,.13048844,.31351065,.26190305,.16573334,.16316149,.24324346,.62827938,.14728802,.09476244,.15080193,.12264708,.12669066,.27834134,.06473883,.09361446,.07977199,.10920196,.19553961,.08522059,.1974993,.30347509,.34035344,.35541862,.04071559,.62176165,.44333225,.33306685,.72984823,.04949473,-.00748604,.21176189,1.2925186,.23786094,.24971897,.22853207,.71145636,.33750627,.10903262,.05292162,.13476355,.14657303,.12415956,.28950053,.1937612,.03230734,.30658833,.09950993,.28923999,.25336561,.75216339,.23129115,.31049395,.44420222,.29340344,.12499782,.56390017,.17199917,.55220138,.24713755,.0292436,.14551465,.12571905,.21549159,.21849623,.31407434,.03487606,.49864246,1.0358884
84,.28763875,.1243255,.28397705,.27736053,.17255373,.15635548,.17570674,.79606448,.20344073,.07863136,.21632091,.10708255,.11595394,.27962272,.04480688,.10866051,.0639291,.09956501,.20377509,.1377842,.16790117,.32627846,.26284673,.55930624,.01992527,.27198729,.38781151,.25448396,.6933377,.05987994,.32198688,.1633497,1.2016875,.09562215,.06913752,.22817524,.76099882,.56661827,.03442404,.1343973,.07901391,.18288806,.23691488,.32063107,.17787884,.03145074,.36482684,.14349641,.1262113,.19942596,.61964585,.09119601,.19692023,.44225483,.25362167,.15916274,.71625039,.19923415,.53249056,.21158585,.0241906,.17865946,.227891,1.4484496,.35736962,.28163522,.01827568,.55163206,.46871445
